Translation failed for entity-view.target-entity: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Target entity
Translation failed for entity-view.attributes-propagation: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Attributes propagation
Translation failed for entity-view.attributes-propagation-hint: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Entity View will automatically copy specified attributes from Target Entity each time you save or update this entity view. For performance reasons target entity attributes are not propagated to entity view on each attribute change. You can enable automatic propagation by configuring "copy to view" rule node in your rule chain and linking "Post attributes" and "Attributes Updated" messages to the new rule node.
Translation failed for entity-view.timeseries-data: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Times eries data
Translation failed for entity-view.timeseries-data-hint: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Configure time series data keys of the target entity that will be accessible to the entity view. This time series data is read-only.
Translation failed for entity-view.search: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Search entity views
Translation failed for entity-view.selected-entity-views: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: { count, plural, =1 {1 entity view} other {# entity views} } selected
Translation failed for entity-view.make-public-entity-view-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Are you sure you want to make the entity view '{{entityViewName}}' public?
Translation failed for entity-view.make-public-entity-view-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: After the confirmation the entity view and all its data will be made public and accessible by others.
Translation failed for entity-view.make-private-entity-view-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Are you sure you want to make the entity view '{{entityViewName}}' private?
Translation failed for entity-view.make-private-entity-view-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: After the confirmation the entity view and all its data will be made private and won't be accessible by others.
Translation failed for entity-view.assign-entity-view-to-edge: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Assign Entity View(s) To Edge
Translation failed for entity-view.assign-entity-view-to-edge-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Please select the entity views to assign to the edge
